Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"POLARIS MEDIA";NO0010466022;POL;"Oslo Børs";NOK;71.00;71.00;71.00;71.00;"13/05/2022 15:51";CET;150;10650.00
POLIGHT;NO0010341712;PLT;"Oslo Børs";NOK;119.80;127.00;117.00;118.00;"13/05/2022 16:25";CET;73450;8914451.20
PROSAFE;NO0010861990;PRS;"Oslo Børs";NOK;228.50;231.50;207.00;210.00;"13/05/2022 16:27";CET;115431;24941843.50
"PROTECTOR FORSIKRG";NO0010209331;PROT;"Oslo Børs";NOK;100.20;105.00;100.20;104.00;"13/05/2022 16:25";CET;79133;8232482.40
"PROXIMAR SEAFOOD";NO0010893902;PROXI;"Euronext Growth Oslo";NOK;7.35;7.49;7.28;7.47;"13/05/2022 16:25";CET;37715;277659.35
PRYME;NL00150005Z1;PRYME;"Euronext Growth Oslo";NOK;10.30;11.35;10.10;10.45;"13/05/2022 16:25";CET;246064;2581079.40
"PYRUM INNOVATIONS";DE000A2G8ZX8;PYRUM;"Euronext Growth Oslo";NOK;718.00;720.00;718.00;720.00;"13/05/2022 13:35";CET;430;309422.00
Q-FREE;NO0003103103;QFR;"Oslo Børs";NOK;6.98;7.10;6.98;7.08;"13/05/2022 16:25";CET;36654;258053.79
QUANTAFUEL;NO0010785967;QFUEL;"Euronext Growth Oslo";NOK;12.00;12.57;10.80;12.25;"13/05/2022 16:25";CET;2354837;27825595.03
"QUESTBACK GROUP";NO0011019119;QUEST;"Euronext Growth Oslo";NOK;82.00;82.00;82.00;82.00;"09/05/2022 11:58";CET;128;10496.00
"QUESTERRE ENERGY";CA74836K1003;QEC;"Oslo Børs";NOK;1.35;1.40;1.35;1.376;"13/05/2022 16:27";CET;802641;1104932.862
"R8 PROPERTY";NO0010859689;R8P;"Euronext Growth Oslo";NOK;28.40;30.00;28.40;29.60;"13/05/2022 15:03";CET;15050;442860.80
"RAK PETROLEUM";GB00BRGBL804;RAKP;"Oslo Børs";NOK;13.10;13.35;12.75;12.75;"13/05/2022 16:25";CET;265922;3479811.35
"RANA GRUBER";NO0010907389;RANA;"Oslo Børs";NOK;56.20;56.80;53.90;56.00;"13/05/2022 16:25";CET;463701;25476762.40
"REACH SUBSEA";NO0003117202;REACH;"Oslo Børs";NOK;3.45;3.50;3.34;3.45;"13/05/2022 16:28";CET;254701;869799.43
"REC SILICON";NO0010112675;RECSI;"Oslo Børs";NOK;15.805;17.30;15.76;17.30;"13/05/2022 16:28";CET;25972415;435406260.25
"RIVER TECH";MT0001710103;RIVER;"Euronext Growth Oslo";NOK;58.00;58.00;58.00;58.00;"13/05/2022 09:08";CET;177;10266.00
"ROMERIKE SPAREBK";NO0010808405;ROMER;"Euronext Growth Oslo";NOK;120.00;120.00;120.00;120.00;"13/05/2022 09:34";CET;50;6000.00
ROMREAL;BMG763301022;ROM;"Euronext Expand Oslo";NOK;1.86;1.86;1.86;1.86;"12/05/2022 10:40";CET;100;186.00
"ROMSDAL SPAREBANK";NO0010759988;ROMSB;"Euronext Growth Oslo";NOK;129.00;129.00;129.00;129.00;"13/05/2022 15:35";CET;50;6450.00
"S.D. STANDARD ETC";CY0101550917;SDSD;"Oslo Børs";NOK;2.05;2.13;2.00;2.12;"13/05/2022 16:25";CET;4512991;9372270.85
"SAGA PURE";NO0010572589;SAGA;"Oslo Børs";NOK;2.418;2.505;2.418;2.467;"13/05/2022 16:25";CET;1320737;3272080.973
SALMAR;NO0010310956;SALM;"Oslo Børs";NOK;684.00;684.00;645.00;664.00;"13/05/2022 16:25";CET;383513;252388236.00
"SALMON EVOLUTION";NO0010892094;SALME;"Oslo Børs";NOK;7.82;8.05;7.81;8.02;"13/05/2022 16:25";CET;883616;7004792.40
